#	单字
山	ijq
陕	ijqa
钐	ijqb
珊	ijqc
埏	ijqd
讪	ijr
衫	ijs
缮	ijsa
膳	ijt
膻	ijta
鄯	ijy
舜	ikd
楯	ike
瞬	ikm
吮	ikr
顺	iku
拴	ild
栓	ile
闩	ilh
涮	iln
税	ine
睡	inm
水	inn
说	inr
谁	inra
什	ioa
伸	ioaa
盛	ioc
生	ioe
乘	ioea
甥	ioeb
笙	ioec
椹	ioed
葚	ioee
糁	ioef
莘	ioeg
审	ioh
申	ioi
蜃	ioj
慎	iok
牲	iol
婶	iom
娠	ioma
眚	iomb
省	ion
深	iona
沈	ionb
渖	ionc
渗	iond
渑	ione
参	ioo
剩	iooa
矧	ioob
神	iop
圣	ioq
砷	ioqa
嵊	ioqb
呻	ior
诜	iora
谂	iorb
哂	iorc
绅	ios
绳	iosa
胜	iot
肾	iota
胂	iotb
升	iov
甚	iova
晟	iow
身	ioz
声	ioza
傻	iqa
挲	iqd
杀	iqe
杉	iqea
莎	iqeb
鲨	iqj
煞	iqk
沙	iqn
霎	iqna
刹	iqo
痧	iqp
厦	iqq
砂	iqqa
铩	iqqb
啥	iqr
嗄	iqra
唼	iqrb
纱	iqs
裟	iqsa
歃	iqw
氏	ira
什	iraa
使	irab
似	irac
侍	irad
仕	irae
匙	iraf
适	irb
逝	irba
轼	irc
拾	ird
拭	irda
释	irdb
柿	ire
蓍	irea
莳	ireb
筮	irec
酾	irg
实	irh
室	irha
史	iri
师	iria
势	irib
式	iric
弑	irid
虱	irj
鲺	irja
鲥	irjb
贳	irjc
螫	irjd
恃	irk
炻	irka
豕	irl
狮	irla
驶	irlb
视	irm
始	irma
湿	irn
矢	iro
示	irp
石	irq
峙	irqa
铈	irqb
埘	irqc
食	irr
识	irra
诗	irrb
嘘	irrc
蚀	irrd
试	irre
饰	irrf
嗜	irrg
噬	irrh
谥	irri
舐	irrj
誓	irrk
施	irs
市	iru
失	irv
事	irva
世	irvb
是	irw
时	irwa
十	irx
士	irz
尸	irza
屎	irzb
殖	irzc
艏	isc
手	isd
受	isda
授	isdb
寿	isdc
守	ish
熟	isk
狩	isl
兽	isn
瘦	isp
收	ispa
售	isr
绶	iss
首	isu
舒	ita
俞	itaa
倏	itab
竖	itb
述	itba
疏	itbb
疋	itbc
输	itc
叔	itd
抒	itda
摅	itdb
术	ite
树	itea
黍	iteb
蔬	itec
梳	ited
枢	itee
菽	itef
秫	iteg
薯	iteh
毹	itf
庶	ith
丨	iti
赎	itj
熟	itk
恕	itka
鼠	itl
姝	itm
淑	itn
漱	itna
澍	itnb
沭	itnc
殳	ito
戍	itoa
数	itp
墅	itq
塾	itqa
署	its
蜀	itsa
纾	itsb
腧	itt
孰	itu
书	itv
束	itva
暑	itw
曙	itwa
属	itz
殊	itza
伤	iua
爽	iuaa
双	iud
赏	iuj
熵	iuk
孀	ium
汤	iun
尚	iuna
霜	iunb
泷	iunc
墒	iuq
垧	iuqa
裳	ius
绱	iusa
觞	iut
商	iuu
晌	iuw
上	iux
殇	iuz
色	iza
筛	ize
酾	izg
晒	izw
侥	jca
佼	jcaa
僬	jcab
跤	jcb
徼	jcba
较	jcc
轿	jcca
搅	jcd
挢	jcda
校	jce
蕉	jcea
椒	jceb
艽	jcec
茭	jced
鹪	jcf
酵	jcg
醮	jcga
窖	jch
蛟	jcj
鲛	jcja
焦	jck
皎	jcka
骄	jcl
狡	jcla
觉	jcm
娇	jcma
姣	jcmb
浇	jcn
湫	jcna
剿	jco
矫	jcoa
教	jcp
敫	jcpa
礁	jcq
